,alpha,b,gamma,epsilon,delta
162,20,1,0.049999999999999996,20,0.002
163,20,1,0.049999999999999996,10,0.004
164,10,2,0.06999999999999999,10,0.002
165,20,1,0.049999999999999996,20,0.004
166,20,1,0.049999999999999996,10,0.003
167,20,1,0.049999999999999996,10,0.001
168,20,1,0.03,50,0.002
169,20,1,0.03,50,0.004
170,20,1,0.03,40,0.004
171,20,1,0.03,40,0.002
172,20,1,0.03,40,0.001
173,20,1,0.03,40,0.003
174,20,1,0.03,50,0.001
175,20,1,0.03,50,0.003
176,20,1,0.03,30,0.004
177,20,1,0.03,30,0.003
178,20,1,0.03,30,0.002
179,20,1,0.03,30,0.001
180,20,1,0.03,10,0.003
181,20,1,0.03,20,0.003
182,20,1,0.03,20,0.001
183,20,1,0.03,10,0.004
184,20,1,0.03,20,0.002
185,20,1,0.03,20,0.004
186,20,1,0.03,10,0.002
187,20,1,0.03,10,0.001
188,10,2,0.08999999999999998,50,0.004
189,10,2,0.08999999999999998,50,0.003
190,20,1,0.08999999999999998,20,0.004
191,20,1,0.08999999999999998,10,0.002
192,20,1,0.08999999999999998,10,0.001
193,20,1,0.06999999999999999,50,0.004
194,20,1,0.06999999999999999,50,0.003
195,20,1,0.06999999999999999,40,0.001
196,20,1,0.06999999999999999,50,0.002
197,20,1,0.06999999999999999,40,0.003
198,20,1,0.06999999999999999,40,0.004
199,20,1,0.06999999999999999,40,0.002
200,20,1,0.06999999999999999,50,0.001
201,20,1,0.06999999999999999,30,0.004
202,20,1,0.06999999999999999,30,0.003
203,20,1,0.06999999999999999,30,0.002
204,20,1,0.06999999999999999,30,0.001
205,20,1,0.06999999999999999,10,0.002
206,20,1,0.06999999999999999,10,0.004
207,20,1,0.06999999999999999,20,0.002
208,20,1,0.06999999999999999,20,0.003
209,20,1,0.06999999999999999,20,0.001
210,20,1,0.06999999999999999,20,0.004
211,20,1,0.06999999999999999,10,0.003
212,20,1,0.06999999999999999,10,0.001
213,20,1,0.049999999999999996,50,0.004
214,20,1,0.049999999999999996,50,0.003
215,20,1,0.049999999999999996,50,0.001
216,20,1,0.049999999999999996,40,0.002
217,20,1,0.049999999999999996,40,0.003
218,20,1,0.049999999999999996,40,0.001
219,20,1,0.049999999999999996,40,0.004
220,20,1,0.049999999999999996,50,0.002
221,20,1,0.049999999999999996,30,0.004
222,20,1,0.049999999999999996,30,0.003
223,20,2,0.03,50,0.004
224,20,2,0.03,50,0.003
225,20,2,0.03,40,0.004
226,20,2,0.03,40,0.003
227,20,2,0.03,40,0.002
228,20,2,0.03,50,0.001
229,20,2,0.03,50,0.002
230,20,2,0.03,40,0.001
231,20,2,0.03,30,0.003
232,20,2,0.03,30,0.004
233,20,2,0.03,30,0.002
234,20,2,0.03,30,0.001
235,20,2,0.03,10,0.004
236,20,2,0.03,20,0.002
237,20,2,0.03,20,0.003
238,20,2,0.03,20,0.001
239,20,2,0.03,20,0.004
240,20,2,0.03,10,0.003
241,20,2,0.03,10,0.001
242,20,2,0.03,10,0.002
243,20,1,0.08999999999999998,50,0.004
244,20,1,0.08999999999999998,50,0.003
245,20,1,0.08999999999999998,40,0.004
246,20,1,0.08999999999999998,40,0.003
247,20,1,0.08999999999999998,50,0.001
248,20,1,0.08999999999999998,40,0.001
249,20,1,0.08999999999999998,40,0.002
250,20,1,0.08999999999999998,50,0.002
251,20,1,0.08999999999999998,30,0.004
252,20,1,0.08999999999999998,30,0.003
253,20,1,0.08999999999999998,30,0.001
254,20,1,0.08999999999999998,30,0.002
255,20,1,0.08999999999999998,10,0.004
256,20,1,0.08999999999999998,20,0.003
257,20,1,0.08999999999999998,20,0.002
258,20,1,0.08999999999999998,20,0.001
259,20,1,0.08999999999999998,10,0.003
260,20,2,0.06999999999999999,30,0.004
261,20,2,0.06999999999999999,30,0.002
262,20,2,0.06999999999999999,20,0.002
263,20,2,0.06999999999999999,30,0.001
264,20,2,0.06999999999999999,20,0.004
265,20,2,0.06999999999999999,20,0.001
266,20,2,0.06999999999999999,20,0.003
267,20,2,0.06999999999999999,10,0.004
268,20,2,0.06999999999999999,10,0.003
269,20,2,0.06999999999999999,10,0.001
270,20,2,0.06999999999999999,10,0.002
271,20,2,0.049999999999999996,50,0.004
272,20,2,0.049999999999999996,50,0.003
273,20,2,0.049999999999999996,50,0.001
274,20,2,0.049999999999999996,40,0.004
275,20,2,0.049999999999999996,50,0.002
276,20,2,0.049999999999999996,40,0.003
277,20,2,0.049999999999999996,40,0.001
278,20,2,0.049999999999999996,40,0.002
279,20,2,0.049999999999999996,30,0.003
280,20,2,0.049999999999999996,30,0.004
281,20,2,0.049999999999999996,30,0.002
282,20,2,0.049999999999999996,20,0.004
283,20,2,0.049999999999999996,20,0.002
284,20,2,0.049999999999999996,20,0.001
285,20,2,0.049999999999999996,20,0.003
286,20,2,0.049999999999999996,30,0.001
287,20,2,0.049999999999999996,10,0.004
288,20,2,0.049999999999999996,10,0.001
289,20,2,0.049999999999999996,10,0.002
290,20,2,0.049999999999999996,10,0.003
291,20,2,0.08999999999999998,50,0.004
292,20,2,0.08999999999999998,40,0.004
293,20,2,0.08999999999999998,40,0.002
294,20,2,0.08999999999999998,40,0.003
295,20,2,0.08999999999999998,50,0.001
